location,Nationality,job_Category,EmploymentType,gender,Experience_years,min Education,Name,KeySkills
Faryab,National,Program/Project,Full Time,Any,3 years,BA,Position Title: Construction Engineer,Bachelor degree on civil engineering
Kabul,National,Other,Full Time,Any,3 years,MA,Position Title: Health Coordinator,
Faryab,National,Program/Project,Full Time,Any,3 years,BA,Position Title: Market development Trainer,"Market development trainer is required to have bachelors degree in marketing, business or a related field."
Faryab,National,Program/Project,Full Time,Any,3 years,BA,Position Title: NRM & DRR Trainer,"BSc degree in agriculture/DRR or equivalent qualification including Agronomy, Horticulture, animal husbandry"
Faryab,National,Program/Project,Full Time,Any,3 years,BA,Position Title: Agriculture and Livelihood Officer,"BSc degree in agriculture or equivalent qualification including Agronomy, Horticulture, animal husbandry."
Paktia,National,Health Care,Full Time,Female,2 years,BA,Position Title: Female FATP Nurse (Only Paktia Residents),
Daikondi,National,Business,Full Time,Any,3 years,BA,Position Title: Admin & IT assistant,Computer literacy in Microsoft Excel and Word is absolutely essential.
Daikondi,National,Business,Full Time,Any,3 years,BA,Position Title: Finance Assistant,Bachelor of Business Administration with Specialization in Finance
Daikondi,National,Program/Project,Full Time,Any,2-3 years,BA,Position Title: M&E Assistant,Bachelors degree in relevant disciplines.
Balkh,National,Business,Full Time,Any,6 years,BA,Position Title: Operations Officer,
Daikondi,National,Program/Project,Full Time,Any,4 years,BA,Position Title: Agriculture and Livestock Officer,Bachelors degree Veterinary sciences or relevant field
Daikondi,National,Program/Project,Full Time,Any,3 years,BA,Position Title: Construction Site Engineer,Bachelor degree on civil engineering
Daikondi,National,Program/Project,Full Time,Any,3 years,BA,Position Title: DRR Trainer,BSc degree in agriculture/DRR or equivalent qualification
Kabul,National,Business,Full Time,Male,1 year,BA,Position Title: Counsellor,
Kabul,National,Program/Project,Full Time,Any,3-5 years,BA,Position Title: Project Manager,"Minimum 3-5 years experience at a similar level managing an agribusiness, livelihoods, and/or agriculture projects with special focus on women empowerment and other community base social empowerment projects."
Nangarhar,National,Program/Project,Full Time,Any,3 years,HS,Position Title: Project Clerk (M&E),"High school diploma and/or university degree or equivalent diploma in social sciences, development, Information Management, or any other related field."
Kabul,National,Business,Full Time,Any,3-5 years,BA,Position Title: Business Development Officer,
Kabul,Any,Business,Full Time,Male,5 years,BA,Position Title: Assistant Manager Operations,
Takhar,National,Security,Full Time,Any,5years,BA,Position Title: Security and Humanitarian Access Coordinator,
Daikondi,National,Program/Project,Full Time,Any,3 years,BA,Position Title: NRM Assistant,"BSc degree in agriculture or equivalent qualification including Agronomy, Horticulture, animal husbandry"
Daikondi,National,Business,Full Time,Any,1  year,HS,Position Title: Office Cleaner,High school diploma or equivalent is advantageous.
Daikondi,National,Business,Full Time,Male,2-3 years,HS,Position Title: Security Guard,High school graduate
Kabul,National,Health Care,Full Time,Any,6 years,BA,Position Title: Midwifery Program Officer,Excellent written and oral communication skills both in local languages and English. Ability and willingness to travel to USAID focus provinces as required.
Kabul,National,Business,Full Time,Male,4 years,BA,Position Title: AAM/Branch Manager (Re-Announced),
Kabul,National,Health Care,Full Time,Any,6 years,MD,Position Title: RMNH Officer,At least Six (6) years of relevant experience in a similar position preferably with international organizations or similar organizations.
Balkh,National,Banking/Accounting,Full Time,Male,1 year,BA,Position Title: Teller Haritan Branch   ,
Badghis,National,Health Care,Full Time,Any,3-5years,MD,Position Title: Hospital Manager,
Badghis,National,Health Care,Full Time,Any,3-years,MD,Position Title: Pediatric Specialist,
Kabul,National,Program/Project,Full Time,Female,7 years,BA,Position Title: Programme Development Manager/Proposal Writer,"Broad understanding of social, political and economic context of the country."
Herat,National,Program/Project,Full Time,Any,5years,BA,Position Title: Gender and Youth Specialist,"Bachelors degree in Agriculture/Livestock, Economics, Gender Studies, and Women Empowerment, with equivalent experience in women In Agriculture, Gender and youth Empowerment, Women Integration, and Gender and Youth mainstreaming."
Kabul,National,Business,Full Time,Any,5 years,BA,Position Title: Human Resource Manager,The candidate should have five (5) years of human resources senior management experience and work with system improvement.
Kabul,International,Other,Full Time,Any,5 years,MA,Position Title: WASH Cluster Co-Coordinator,"In addition to the monthly salary, the following package is also provided:"
Kabul,National,Other,Full Time,Any,2-3 years,BA,Position Title: Disability Specialist,
Kabul,National,Banking/Accounting,Full Time,Male,2-3 years,BA,Position Title: Deputy IT Audit Manager (Re Announced),
Kabul,National,Program/Project,Full Time,Any,5 years,BA,Position Title: Internal Auditor,Having understanding of the internal auditing standards.
Kandahar,National,Business,Full Time,Male,5 years,BA,Position Title: Admin & finance,"Excellent skills in financial management, accounting, budgeting and reporting"
Kunduz,National,Health Care,Full Time,Female,3 years,MD,Position Title: RH Supervisor,
Kunduz,National,Health Care,Full Time,Male,3 years,MD,Position Title: HRD Officer,
Sar-e Pol,National,Program/Project,Full Time,Any,5 years,BA,Position Title: FSL Project Manager,
Kunduz,National,Health Care,Full Time,Any,2 years,MD,Position Title: Cluster Supervisor,
Kabul,National,Security,Full Time,Any,5 years,BA,Position Title: National Senior Security Officer - PIU,
Jawzjan,National,Program/Project,Full Time,Male,2 years,BA,Position Title: District Coordinator,
Kabul,National,Engineering,Full Time,Any,7 years,BA,Position Title: National Senior Engineer - PIU,
Nangarhar,National,Program/Project,Full Time,Female,5years,BA,Position Title: District Communication Officer (DCO) - Only Female,
Kabul,National,Other,Full Time,Any,7 years,BA,Position Title: National Senior Social Development Specialist - PIU,
Bamian,National,Health Care,Full Time,Any,2-3 years,BA,Position Title: IT Assistant,
Kabul,National,Business,Full Time,Any,7 years,BA,Position Title: National Senior Finance Coordinator - PIU,
Nimruz,National,Program/Project,Full Time,Female,2 years,BA,Position Title: PSS Counselor (Psycho-Social Counselor),
Nangarhar,National,Program/Project,Full Time,Any,5years,BA,Position Title: District Communication Officer (DCO) - Nangarhar (Behsud District),
Badakhshan,National,Construction,Full Time,Any,5 years,BA,Position Title: Site Engineer,
Kabul,National,Program/Project,Full Time,Any,None,BA,Position Title: Assistant Programme Officer (HIV Prevention and Drug Demand Reduction),No experience is required with an advanced university degree.
Kabul,National,Program/Project,Full Time,Any,3-5 years,BA,Position Title: Community Mobilizer,Ability to fluently communicate in the local languages.
Logar,National,Engineering,Full Time,Male,5 years,BA,Position Title: Electrician,
Kabul,National,Security,Full Time,Any,5 years,BA,"Position Title: Health, Safety and Security Coordinator",Handling insecure environments
Logar,National,Other,Full Time,Male,5 years,HS,Position Title: Excavator Driver,More than 5 years of mechanical operation experience such as excavators.
