,Location,Nationality,Job_Category,Employment_Type,Gender,Years_Of_Experience,Minimum_Education,Job_Title
2075,Kabul City,National,Business,Full Time,Any,2.5,BA,Position Title: HR Assistant
2076,Central Highlands,National,Security,Full Time,Male,0.0,HS,Position Title: Security Guard (Only Ghazni Residents)
2077,North-East Zone,National,Business,Full Time,Any,3.0,BA,Position Title: HR/Admin Officer
2078,Kabul City,National,Business,Full Time,Any,7.0,BA,Position Title: Reporting And Communication Manager
2079,West Zone,National,Business,Full Time,Any,0.0,HS,Position Title: Quick Response Team Leader (Survey/EOD & RE Team Leader (168847)
2080,Kabul City,National,Others,Full Time,Any,4.0,BA,Position Title: Safeguarding Officer
2081,Kabul City,National,Others,Full Time,Any,8.0,BA,Position Title: Project Proposal Writer
2082,West Zone,National,Legal,Full Time,Any,3.0,BA,Position Title: ICLA Team Leader Afghanistan Nimroz
2083,North-Zone,National,Business,Full Time,Male,2.0,BA,Position Title: Bakery Supervisor
2084,East Zone,National,Business,Full Time,Any,2.0,HS,"Position Title: Risk Education Facilitator ""Couple""(Kunar)"
2085,East Zone,National,Business,Full Time,Any,0.0,BA,Position Title: District Communication Officer (DCO) - Surkhrod & Khogyani
2086,East Zone,National,Health,Full Time,Any,3.0,MD,Position Title: Medical Doctor
2087,West Zone,National,Education,Full Time,Male,2.0,BA,Position Title: Exam Invigilator
2088,West Zone,National,Business,Full Time,Female,3.0,BA,Position Title: Project Manager
2089,West Zone,National,Business,Full Time,Male,2.0,BA,Position Title: Community Outreach Focal Point
2090,Kabul City,National,Others,Full Time,Male,1.0,BA,Position Title: Geometrical Design Teacher Assistant (Re Announced)
2091,Kabul City,National,Business,Full Time,Any,4.0,BA,Position Title: Reporting and Communications Manager
2092,Kabul City,National,Business,Full Time,Any,4.0,BA,Position Title: Country Partnership and Business Development Manager
2093,Kabul Zone,National,Health,Full Time,Female,1.5,BA,Position Title: MHPSS Counsellor (Female only)
2094,North-Zone,National,Business,Full Time,Any,2.0,BA,Position Title: Social Behavior Change/Social Worker
2095,East Zone,National,Business,Full Time,Any,2.0,HS,"Position Title: Risk Education Facilitator ""Couple""(Jalalabad)"
2096,East Zone,National,Business,Full Time,Any,2.0,HS,Position Title: Risk Education Facilitator (Couple)
2097,Kabul City,National,Business,Full Time,Any,4.0,BA,Position Title: Donor & Grants Coordinator
2098,North-East Zone,National,Business,Full Time,Any,0.0,BA,Position Title: Area Coordinator
2099,South Zone,National,Others,Full Time,Any,0.0,BA,Position Title: Pharmacy Officer
2100,Kabul City,National,Business,Full Time,Any,7.0,BA,Position Title: Procurement Specialist
2101,South Zone,National,Others,Full Time,Any,5.0,BA,Position Title: Admin-Finance Officer
2102,Kabul City,National,Business,Full Time,Any,7.0,BA,Position Title: Finance Specialist
2103,East Zone,National,Health,Full Time,Female,0.0,MA,Position Title: Quality Improvement Officer/ Ob/Gyn Specialist (Re Announced) (Re Announced) (Re Announced)
2104,East Zone,National,Business,Full Time,Any,0.0,BA,"Position Title: District Communication Officer (DCO)- Sarkani,Marawara"
2105,Kabul City,National,Business,Full Time,Any,1.0,BA,Position Title: Admin Assistant
2106,East Zone,National,Business,Full Time,Any,0.0,BA,Position Title: District Communication Officer (DCO) - Sheegal-wa-Shultan & Bar Kunar
2107,Kabul City,National,Business,Full Time,Any,2.0,BA,Position Title: National Human Resources Officer (TPC)
2108,West Zone,National,Business,Full Time,Female,2.0,BA,Position Title: Village Savings and Loans Association (VSLA) Officer
2109,East Zone,National,Business,Full Time,Male,2.0,BA,Position Title: Reporting Officer (Subject to Donor Fund) (Re Announced)
2110,East Zone,National,Business,Full Time,Any,0.0,BA,"Position Title: District Communication Officer (DCO) - Watapor, Chapadara & Pech"
2111,Kabul City,Any,Others,Full Time,Any,6.0,MA,Position Title: Senior Manager Program Development
2112,North-Zone,National,Others,Full Time,Female,2.0,HS,Position Title: Female Nutrition Counsellor
2113,Kabul City,National,Business,Full Time,Any,4.0,BA,Position Title: Regional HR Officer
2114,Kabul City,National,Business,Full Time,Any,3.0,BA,Position Title: Training Coordinator / Master Trainer
2115,Kabul City,National,Business,Full Time,Male,5.0,BA,Position Title: Chief Risk Officer (CRO) (Re Announced)
2116,Kabul Zone,National,Health,Full Time,Female,1.0,VD,Position Title: Medical Laboratory Technician 
2117,West Zone,National,Business,Full Time,Any,1.0,BA,Position Title: Protection Monitoring and Case Management Worker (PMCMW)
2118,Kabul Zone,National,Health,Full Time,Female,1.0,VD,Position Title: Pharmacist
2119,East Zone,National,Health,Full Time,Female,1.0,VD,Position Title: Medical Laboratory Technician 
2120,West Zone,National,Business,Full Time,Any,1.0,BA,Position Title: Protection Monitoring and Case Management Worker (PMCMW)
2121,East Zone,National,Business,Full Time,Any,0.0,BA,"Position Title: District Communication Officer (DCO) - Alishang , Dawlatshah"
2122,East Zone,National,Health,Full Time,Female,1.0,VD,Position Title: Pharmacist
2123,North-East Zone,National,Business,Full Time,Any,7.0,BA,Position Title: Regional Manager
2124,Kabul City,National,Health,Full Time,Female,4.0,BA,Position Title: MHPSS Technical Manager
2125,East Zone,National,Business,Full Time,Any,0.0,BA,"Position Title: District Communication Officer (DCO) - Qarghaee , Alingar"
2126,Kabul City,National,Business,Full Time,Any,0.0,BA,Position Title: HIVA (High Impact Valued Added Intervention) Consultant
2127,South Zone,National,Business,Full Time,Any,3.0,BA,Position Title: Logistics Officer
2128,West Zone,National,Business,Full Time,Female,1.5,BA,Position Title: Business Development Officer
2129,East Zone,National,Business,Full Time,Any,0.0,BA,"Position Title: District Communication Officer (DCO) - Kamdish , Barg-e-Matal"
2130,Kabul City,National,Business,Full Time,Any,3.0,HS,Position Title: Assistant Cook
2131,South Zone,National,Security,Full Time,Male,4.0,HS,Position Title: Security Officer
2132,North-Zone,National,Business,Full Time,Any,0.0,BA,Position Title: Program Manager
2133,South Zone,National,Security,Full Time,Male,4.0,HS,Position Title: Security Officer
2134,North-East Zone,National,Business,Full Time,Any,3.0,MA,"Position Title: Programme Policy Officer- NOB- Herat, Kandahar, Faizabad"
2135,Kabul City,National,Health,Full Time,Male,10.0,MD,Position Title: Program Director (Re Announced)
2136,East Zone,National,Business,Full Time,Any,0.0,BA,"Position Title: District Communication Officer (DCO) - Batikot , Kot"
2137,South Zone,National,Engineering,Full Time,Male,3.0,BA,Position Title: WASH Field Engineer
2138,Kabul City,National,Business,Full Time,Male,2.0,BA,Position Title: Deputy  Operation Audit Manager
2139,East Zone,National,Business,Full Time,Any,0.0,BA,"Position Title: District Communication Officer (DCO) - Chaparhar , Rodat"
2140,South Zone,National,Engineering,Full Time,Male,3.0,BA,Position Title: WASH Field Engineer
2141,Kabul City,National,Business,Full Time,Male,1.0,BA,Position Title: CSR  
2142,Kabul City,National,Business,Full Time,Any,4.0,MA,Position Title: Position Title: Master Trainer
2143,South Zone,National,Business,Full Time,Male,1.0,BA,Position Title: CSO Zabul
2144,Kabul City,National,Health,Full Time,Female,3.0,BA,Position Title: Female Ultrasonologist + Backup for Maternity
2145,East Zone,National,Business,Full Time,Any,0.0,BA,"Position Title: District Communication Officer (DCO) - Shinwar , Achin"
2146,North-Zone,National,Business,Full Time,Any,2.0,BA,Position Title: Market Linkage Trainer
2147,West Zone,National,Health,Full Time,Any,2.0,BA,Position Title: Drug Dispenser
2148,West Zone,National,Business,Full Time,Any,0.0,,Position Title: Purchaser (Local Recruitment)
2149,Kabul City,National,Business,Full Time,Female,2.0,BA,Position Title: (VSLA) Officer- Village Savings and Loans Association
2150,Central Highlands,National,Business,Full Time,Any,2.0,BA,Position Title: Community Mobilizer (BMN)
2151,Kabul City,National,Business,Full Time,Any,0.0,BA,Position Title: CARPETS VALUE CHAIN EXPERT (Re Announced)
2152,Kabul City,National,Business,Full Time,Any,0.0,BA,Position Title: CASHMERE VALUE CHAIN EXPERT (Re Announced)
2153,Kabul City,National,Business,Full Time,Any,0.0,BA,Position Title: NATURAL STONE VALUE CHAIN EXPERT (Re Announced)
2154,South Zone,National,Engineering,Full Time,Male,5.0,BA,Position Title: Project Manager (Construction)
2155,West Zone,National,Business,Full Time,Any,6.5,BA,Position Title: Regional Project Manager (Re Announced)
2156,East Zone,National,Business,Full Time,Any,0.0,BA,"Position Title: District Communication Officer (DCO) - Nangarhar (Mohmandara , Lalpura District)"
2157,East Zone,National,Business,Full Time,Female,2.5,BA,Position Title: Center Officer ( Only Female)
2158,East Zone,National,Business,Full Time,Any,0.0,BA,"Position Title: District Communication Officer (DCO) - Nangarhar (Kama , Gushta District)"
2159,East Zone,National,Legal,Full Time,Any,0.0,BA,Position Title: ICLA Technical Assistant
2160,Kabul City,National,Business,Full Time,Any,7.0,BA,Position Title: National Senior Environmental Management Specialist - PIU
2161,North-Zone,National,Business,Full Time,Any,1.0,BA,Position Title: Assistant Protection Officer (In replacement Capacity with Lien)
2162,North-East Zone,National,Agriculture,Full Time,Any,2.5,BA,Position Title: Technical Assistant (Agriculture Expert)- Kunduz (Re Announced)
2163,North-Zone,National,Agriculture,Full Time,Any,5.0,BA,Position Title: Technical Supervisor (Agriculture)
2164,East Zone,National,Legal,Full Time,Any,3.0,BA,Position Title: ICLA Officer
2165,Kabul City,National,Business,Full Time,Any,7.0,BA,Position Title: National Senior M&E and Reporting Specialist - PIU
2166,Kabul City,National,Security,Full Time,Any,5.0,BA,Position Title: Risk Manager
2167,Kabul City,National,Business,Full Time,Any,7.0,BA,Position Title: National Senior Operation Specialist - PIU
2168,Central Highlands,National,Business,Full Time,Female,2.0,BA,Position Title: Protection and Rule of Law Monitor ( Only Female)
2169,Kabul City,National,Business,Full Time,Female,4.0,BA,"Position Title: Monitoring, Evaluation, Learning and Accountability Officer (Female Only) (168872)"
2170,Kabul City,National,Others,Full Time,Any,5.0,BA,Position Title: National Senior HRD and Capacity Building Specialist - PIU
2171,East Zone,National,Business,Full Time,Any,2.0,HS,Position Title: Community Mobilizer (Hygiene Promoter - WASH)
2172,Kabul City,National,Business,Full Time,Any,3.0,BA,Position Title: People & Culture Officer (Learning & Development)
2173,East Zone,National,Health,Full Time,Female,1.0,BA,Position Title: Female Cleaner (Re-announced) (Re Announced)
2174,North-East Zone,National,Business,Full Time,Any,2.5,BA,Position Title: Finance Assistant
2175,South Zone,National,Health,Full Time,Female,2.0,BA,Position Title: Provincial Social Worker
2176,South Zone,National,Health,Full Time,Female,2.0,BA,Position Title: Provincial Social Worker
2177,South Zone,National,Health,Full Time,Female,2.0,BA,Position Title: Provincial Social Worker
2178,South Zone,National,Health,Full Time,Any,5.0,BA,Position Title: Regional Child Protection & Gender Based Violence Manager
2179,Kabul City,National,Health,Full Time,Female,2.0,BA,Position Title: Psychologist/Counsellor
2180,Kabul City,National,Others,Full Time,Any,2.0,BA,Position Title: Communications Officer
2181,Kabul City,National,Engineering,Full Time,Any,2.0,BA,Position Title: Construction Management Engineer (Roster)
2182,Central Highlands,National,Health,Full Time,Any,1.0,MD,Position Title: Provincial Supervisor/ data collector
2183,East Zone,National,Health,Full Time,Any,2.0,BA,Position Title: Environmental Health Database Assistant (Re Announced)
2184,Kabul City,National,Engineering,Full Time,Any,4.0,BA,"Position Title: Construction Management Engineer (Roster), Multiple positions"
2185,North-Zone,National,Business,Full Time,Male,3.0,BA,Position Title: Logistic and Transport Officer
2186,North-East Zone,National,Business,Full Time,Any,7.0,BA,Position Title: Provincial Coordinator
2187,Kabul City,National,Business,Full Time,Any,7.0,BA,Position Title: Project Manager
2188,North-Zone,National,Business,Full Time,Any,7.0,BA,Position Title: Provincial Coordinator
2189,East Zone,National,Others,Full Time,Any,4.0,BA,Position Title: Camp Management Officer
2190,Kabul City,National,Business,Full Time,Any,7.0,BA,Position Title: Project Manager
2191,East Zone,National,Education,Full Time,Male,3.5,BA,Position Title: School Principal
2192,Kabul City,Any,Health,Full Time,Female,1.5,BA,Position Title: Receptionist
2193,East Zone,National,Health,Full Time,Any,2.5,BA,Position Title: Orthopedic Surgeon (Share-based)
2194,West Zone,National,Health,Full Time,Female,1.0,MD,Position Title: Mentors
2195,Kabul City,National,Business,Full Time,Male,6.0,BA,Position Title: The Business Research & Development Specialist
2196,Kabul City,National,Business,Full Time,Male,6.0,BA,Position Title: Financial Analysis Specialist
2197,Kabul City,National,Legal,Full Time,Male,5.5,MA,Position Title: Senior legal Specialist
2198,Kabul City,National,Others,Full Time,Any,3.0,BA,Position Title: F&B Supervisor
2199,Kabul City,National,Engineering,Full Time,Male,7.0,BA,Position Title: Proposal Writer ( Civil Engineer )
2200,North-Zone,National,Agriculture,Full Time,Male,4.0,BA,Position Title: Project officer
2201,Kabul City,National,Others,Full Time,Any,3.0,BA,Position Title: Sales/Marketing Officer
2202,Kabul City,National,Others,Full Time,Any,7.0,BA,Position Title: Event Manager
2203,Kabul City,National,Security,Full Time,Male,4.0,MA,Position Title: Security Officer
2204,Kabul City,National,Business,Full Time,Male,3.5,BA,Position Title: Field Manager
2205,West Zone,National,Engineering,Full Time,Any,6.0,BA,Position Title: Project Manager
2206,Kabul City,National,Engineering,Full Time,Any,10.0,BA,Position Title: Senior Landscape Design Engineer
2207,Kabul City,National,Others,Full Time,Male,5.0,BA,Position Title: Guest House Manager and Events Coordinator
2208,Kabul City,National,Business,Full Time,Any,7.0,BA,Position Title: MARKETING MANAGER
2209,Kabul City,Any,Education,Part Time,Any,2.0,BA,"Position Title: School Teachers, Cambridge Subjects (Computer, Chemistry, Mathematics, Biology, Physics, English) Headmistress & Cambridge Computer Teacher(Balkh)"
2210,North-Zone,Any,Education,Part Time,Any,2.0,BA,"Position Title: School Teachers, Cambridge Subject: (Computer), Maref Subjects:(History, Geography) Maref subject:(Dari :for Kabul location)"
2211,North-Zone,National,Business,Full Time,Any,2.0,BA,Position Title: Video Editing and Social Media Officer ? Remote Work
2212,North-Zone,National,Business,Full Time,Any,5.0,BA,Position Title: Program Manager
