,Location,Nationality,Job_Category,Employment_Type,Gender,Years_Of_Experience,Minimum_Education,Job_Title
476,Central Highlands,National,Business,Full Time,Any,2.5,BA,"Position Title: Protection Officer ""caseworker"" (Ghazni)"
477,Kabul City,National,IT,Full Time,Any,5.0,MA,Position Title: ICT Engineer
478,Central Highlands,National,Business,Full Time,Any,0.0,BA,Position Title: WASH Deputy Program Manager/Community Engagement -BMY  (Re Announced)
479,East Zone,National,Health,Full Time,Female,1.5,MD,Position Title: MCH supervisor
480,Kabul City,Any,Business,Full Time,Any,5.0,MA,Position Title: Territorial Profiling and Market Systems Analysis
481,Kabul City,National,Business,Full Time,Any,2.5,BA,"Position Title: Protection Officer ""caseworker"" (Kabul)"
482,South Zone,National,Agriculture,Full Time,Any,2.5,BA,Position Title: Agriculture Specialist ( Technical Evaluation Specialist )-Kandahar
483,Kabul City,National,Business,Full Time,Any,0.0,BA,Position Title: Design Centre and Online Learning Officer
484,East Zone,National,Health,Full Time,Female,1.5,BA,Position Title: CHWs Trainer
485,East Zone,National,Health,Full Time,Female,1.0,HS,Position Title: Nutrition Counselor
486,Kabul City,National,Business,Full Time,Female,0.0,BA,Position Title: Finance Intern
487,East Zone,National,Health,Full Time,Female,1.0,HS,Position Title: Nutrition Counselor 
488,Kabul City,National,Business,Full Time,Any,3.0,BA,Position Title: Finance Assistant
489,East Zone,National,Health,Full Time,Female,1.0,HS,Position Title: Nutrition Counselor 
490,East Zone,National,Health,Full Time,Female,1.0,HS,Position Title: Nutrition Counselor 
491,Kabul City,National,Others,Full Time,Male,0.0,HS,Position Title: ????? ????
492,East Zone,National,Health,Full Time,Female,1.5,BA,Position Title: Nurse (Female Only)
493,Kabul City,National,Others,Full Time,Male,0.0,HS,Position Title: ????? ????? ???
494,Kabul City,National,Business,Full Time,Any,5.0,BA,Position Title: Head of Human Resources
495,North-Zone,National,Others,Full Time,Any,3.0,BA,Position Title: Enterprise Development Officer
496,Kabul City,National,Others,Full Time,Any,4.0,MA,Position Title: proposal writer
497,Kabul City,National,Business,Full Time,Any,3.0,BA,Position Title: Finance Assistant
498,Kabul City,National,Business,Full Time,Any,5.0,SS,Position Title: Office Cleaner
499,Kabul City,National,Business,Full Time,Female,7.0,MD,Position Title: Afghanistan Country Program Assistant (Re-Announced)
500,North-Zone,National,Health,Full Time,Any,3.5,MD,Position Title: Re-announcement of Provincial Supervisor
501,North-Zone,National,Health,Full Time,Any,2.5,MD,Position Title: Re- announcement of Project Monitoring Officer
502,Kabul City,National,Others,Full Time,Any,3.0,BA,Position Title: Senior Officer Protection Gender and Inclusion
503,Kabul City,National,Education,Full Time,Female,4.0,BA,Position Title: Education Coordinator
504,North-Zone,National,Business,Full Time,Any,2.0,BA,Position Title: Field Finance Officer
505,Kabul City,National,Agriculture,Full Time,Any,3.0,BA,Position Title: Agriculture Development Officer (ADO)
506,South Zone,National,Business,Full Time,Any,0.0,,Position Title: Cleaner
507,East Zone,National,Business,Full Time,Any,3.0,BA,Position Title: Monitoring and Evaluation Clerk
508,Kabul City,National,Business,Full Time,Any,3.0,BA,Position Title: Senior Finance Officer
509,South Zone,National,Business,Full Time,Any,3.0,BA,Position Title: Monitoring and Evaluation Clerk
510,Kabul City,National,Business,Full Time,Any,3.0,BA,Position Title: Officer Communication
511,North-Zone,National,Security,Full Time,Any,3.0,BA,Position Title: Officer Safety
512,East Zone,National,Health,Full Time,Any,7.0,BA,"Position Title: Head of Institute of Health Sciences, IHS"
513,East Zone,National,Business,Full Time,Female,2.0,BA,Position Title: Emergency Officer (Female only)
514,North-Zone,Any,Business,Full Time,Any,6.0,MA,Position Title: On-Call Experts (On-site/ Off-site)
515,Kabul City,National,Health,Full Time,Female,5.0,BA,Position Title: Midwifery and Nursing Project Coordinator
516,East Zone,National,Business,Full Time,Any,5.0,BA,Position Title: Economic Recovery Officer (Engineer)
517,East Zone,National,Business,Full Time,Any,5.0,BA,Position Title: Emergency Team Leader
518,Central Highlands,National,Others,Full Time,Any,0.0,BA,Position Title: TVET Officer
519,North-Zone,National,Business,Full Time,Female,1.5,BA,Position Title: Re-Announced RD Trainer
520,North-Zone,National,Business,Full Time,Any,2.0,BA,Position Title: Re-Announced Data Management Assistant
521,North-Zone,National,Business,Full Time,Any,1.5,BA,Position Title: Market Linkage Officer
522,Kabul City,National,Business,Full Time,Any,2.0,BA,Position Title: Analyst Project Management
523,Kabul City,National,Business,Full Time,Any,3.0,BA,Position Title: Senior Analyst Governance
524,Kabul City,National,Business,Full Time,Any,5.0,BA,Position Title: Team Leader Communications
525,Kabul City,National,Others,Full Time,Any,7.0,MA,Position Title: Political Affairs Officer
526,West Zone,National,Business,Full Time,Any,1.0,BA,Position Title: Medical Doctor (MD) (Re Announced)
527,West Zone,National,Business,Full Time,Any,3.0,BA,Position Title: Provincial Supervisor - COVID-19 Vaccination Program
528,West Zone,National,Business,Full Time,Any,3.0,BA,Position Title: Provincial Supervisor - COVID-19 Vaccination Program
529,West Zone,National,Business,Full Time,Any,3.0,BA,Position Title: Provincial Supervisor - COVID-19 Vaccination Program
530,East Zone,National,Security,Full Time,Male,1.0,HS,Position Title: Guard
531,East Zone,National,Business,Full Time,Male,1.0,HS,Position Title: Cleaner
532,Kabul City,National,Business,Full Time,Any,4.0,BA,Position Title: Senior Specialist/Specialist HR
533,Kabul City,National,IT,Full Time,Any,5.0,BA,Position Title: Software Department Head
534,Kabul City,National,IT,Full Time,Any,3.0,BA,Position Title: System Administrator
535,Kabul City,National,Business,Part Time,Any,5.0,MA,Position Title: Consultant for Developing Guidelines on Rockfall Risk Management
536,Kabul City,National,Business,Full Time,Male,3.0,BA,Position Title: Chief Risk Officer
537,Kabul City,National,Others,Full Time,Any,3.0,BA,Position Title: District Program Organizer ( Couple )
538,Kabul City,National,Business,Full Time,Any,2.0,BA,Position Title: Receiving In-Charge (Re Announced)
539,Kabul City,National,Others,Full Time,Female,2.0,BA,Position Title: Purchase Assistant (Re Announced) (Re Announced)
540,Kabul City,National,Others,Full Time,Any,2.0,HS,Position Title: Waiter/Hostess (Re Announced) (Re Announced)
541,Kabul City,National,Others,Full Time,Male,4.0,BA,Position Title: Engineering Technician (Re Announced)
542,Kabul City,National,Others,Full Time,Any,1.5,BA,Position Title: Housekeeping Attendant (Re Announced)
543,Central Highlands,National,Business,Full Time,Any,4.0,BA,Position Title: Provincial Health Extender
544,Kabul City,National,Agriculture,Full Time,Any,10.0,BA,Position Title: Lead Value Chain Specialist - Horticulture
545,North-Zone,National,Others,Full Time,Any,3.0,HS,"Position Title: Health, Safety and Security Officer"
546,Kabul City,National,Agriculture,Full Time,Any,7.0,BA,Position Title: Lead Value Chain Specialist - Poultry
547,Kabul City,National,Others,Full Time,Any,10.0,BA,Position Title: Lead Value Chain Specialist-Fish
548,South Zone,National,Business,Full Time,Any,3.0,BA,Position Title: Shelter Associate (Construction Project management)-Affiliate
549,Central Highlands,National,Others,Full Time,Any,5.0,BA,Position Title: Provincial Coordinator
550,Kabul City,National,Business,Full Time,Any,5.0,BA,Position Title: Training Manager (Re Announced)
551,North-Zone,National,Health,Full Time,Female,3.5,MD,Position Title: Re- announcement of RH Officer (Re Announced)
552,North-East Zone,National,Business,Full Time,Any,5.0,BA,Position Title: Equality and Inclusion Senior Officer
553,East Zone,National,Business,Full Time,Male,1.0,BA,Position Title: Admin & Finance Assistant
554,Kabul City,National,Business,Full Time,Female,2.0,BA,Position Title: MEAL/CRA ( Clients Responsiveness & Accountability ) Officer (Re Announced)
555,North-East Zone,National,Health,Full Time,Any,2.0,BA,Position Title: Data Clerk
556,North-East Zone,National,Health,Full Time,Any,2.0,BA,Position Title: MHPSS Officer
557,North-East Zone,National,Health,Full Time,Any,3.0,BA,Position Title: Health Information System Officer
558,North-East Zone,National,Health,Full Time,Any,3.0,BA,Position Title: Provincial Pharmacy Officer
559,North-East Zone,National,Health,Full Time,Female,2.0,SS,Position Title: IYCF Counsellor ( Only Female)
560,North-East Zone,National,Health,Full Time,Female,2.0,BA,Position Title: Nutrition Nurse - Only Female
561,North-East Zone,National,Health,Full Time,Any,1.5,BA,Position Title: MHPSS Counselor
562,North-East Zone,National,Health,Full Time,Any,2.0,BA,Position Title: Nutrition Officer
563,North-East Zone,National,Health,Full Time,Female,2.0,MD,Position Title: Midwife (Only Female)
564,Kabul City,National,Business,Full Time,Any,3.5,BA,Position Title: Finance Audit Officer
565,East Zone,National,Business,Full Time,Any,5.0,BA,Position Title: Project Manager
566,East Zone,National,Business,Full Time,Any,4.0,BA,Position Title: Project Supervisor
567,East Zone,National,Business,Full Time,Any,2.0,HS,Position Title: Distributor
568,East Zone,National,Business,Full Time,Any,2.0,BA,Position Title: Desk Information Officer
569,East Zone,National,Business,Full Time,Any,2.0,BA,Position Title: Scope/ ICT Officer
570,East Zone,National,Business,Full Time,Any,2.0,BA,Position Title: Surveyor Scope Registration Officer
571,East Zone,National,Business,Full Time,Male,2.0,HS,Position Title: Storekeeper
572,East Zone,National,Business,Full Time,Any,2.0,BA,Position Title: Crowd controller
573,East Zone,National,Business,Full Time,Male,2.0,BA,Position Title: Security Guard
574,Kabul City,National,Business,Full Time,Female,0.0,BA,Position Title: Finance Intern (Only Female)
575,South Zone,National,IT,Full Time,Any,1.0,BA,Position Title: Supervisor Implementation (Casual) - Kandahar
576,Kabul City,National,IT,Full Time,Any,1.0,BA,Position Title: Technician Site Solution (Casual)
577,Kabul City,National,IT,Full Time,Any,1.0,BA,Position Title: Technician Site Sharing (Casual)
578,Kabul City,National,IT,Full Time,Any,2.0,BA,Position Title: Analyst IT Service Desk
579,Kabul City,National,Others,Full Time,Any,3.0,BA,Position Title: Customer Services Agent (Roster)
580,North-Zone,National,Business,Full Time,Any,0.0,BA,Position Title: Defense Lawyer/Advocate
581,North-East Zone,National,Health,Full Time,Any,1.5,BA,Position Title: Pharmacy Dispenser
582,North-East Zone,National,Health,Full Time,Any,2.0,MD,Position Title: Medical Doctor
583,North-East Zone,National,Health,Full Time,Any,1.5,BA,Position Title: Health Promotion Assistant
584,Kabul Zone,National,Health,Full Time,Female,2.0,BA,Position Title: Nurse Instructor 
585,Kabul Zone,National,Health,Full Time,Female,2.0,BA,Position Title: Midwifery Instructor 
586,East Zone,National,Health,Full Time,Female,1.0,BA,Position Title: Midwifery Instructor 
587,North-Zone,National,Business,Full Time,Any,1.5,BA,Position Title: Grant and Loan Officer
588,North-Zone,National,Business,Full Time,Any,3.5,BA,Position Title: Re-Announced Senior Enterprise Development Officer
589,East Zone,National,Health,Full Time,Female,2.0,BA,Position Title:Midwifery Instructor
590,East Zone,National,Health,Full Time,Female,2.0,BA,Position Title: Nurse Instructor 
591,West Zone,National,Others,Full Time,Female,2.0,BA,Position Title: Social Mobilizer
592,East Zone,National,Health,Full Time,Female,2.0,BA,Position Title: Nurse Instructor 
593,East Zone,National,Health,Full Time,Female,2.0,BA,Position Title: Midwifery Instructor 
594,East Zone,National,Health,Full Time,Female,1.0,BA,Position Title:Nurse Instructor 
595,North-Zone,National,Business,Full Time,Female,2.0,BA,Position Title: Re-Announced Psychosocial Counsellor
596,North-Zone,National,Business,Full Time,Male,2.0,HS,Position Title: Re-Announced Wheelchair Technician (Re Announced)
597,North-Zone,National,Business,Full Time,Any,1.5,BA,Position Title: Re-Announced Prosthetics/Orthotics (Category II) (Re Announced)
598,West Zone,National,Business,Full Time,Any,3.0,BA,Position Title: Foreman/Assistant Engineer
599,East Zone,National,Business,Full Time,Any,0.0,,"Position Title: Protection Officer/Border Monitoring ""Male & Female""(Couple)"
600,Kabul City,National,Health,Full Time,Any,2.0,BA,Position Title: Electroconvulsive Therapy (ECT) Expert
601,Kabul City,National,Others,Full Time,Any,7.0,BA,Position Title: Proposal Writer/Program Manager
602,Kabul City,National,Engineering,Full Time,Any,3.0,MA,Position Title: Creative Director
603,Kabul City,National,Health,Full Time,Male,3.0,MD,Position Title: GRM/ OPSEA Officer (Re Announced)
604,North-East Zone,National,Health,Full Time,Any,4.0,MD,Position Title: Provincial Health Manager
605,Kabul City,National,Security,Full Time,Any,2.0,HS,Position Title: Humanitarian Access & Risk Management Officer
606,Kabul City,National,Business,Full Time,Any,0.0,,Position Title: M&E Officer
607,North-East Zone,National,Business,Full Time,Any,7.0,BA,Position Title: Project Manager- Roster
608,Kabul City,National,Health,Full Time,Any,0.0,MD,Position Title: Senior EPI Officer
609,Kabul City,National,Business,Full Time,Female,2.0,HS,Position Title: BSFP focal point Emergency Response UCSS-Project Kabul
610,Kabul City,National,Business,Full Time,Any,6.0,BA,Position Title: Reporting and Liaison Coordinator (Re Announced)
611,West Zone,National,Business,Full Time,Male,3.0,BA,Position Title: TPM Team Leader
612,Kabul City,National,Health,Full Time,Any,2.0,BA,Position Title: Youth Engagement Officer
613,North-East Zone,National,Business,Full Time,Any,3.0,BA,Position Title: HR & Admin Assistant-Roster
614,North-East Zone,National,Business,Full Time,Any,3.0,BA,Position Title: HR & Admin Assistant-Roster
615,North-Zone,National,Health,Full Time,Female,3.0,MD,Position Title: Female MD
616,Kabul City,National,Education,Full Time,Any,7.0,BA,Position Title: Script Writer - Pashto
617,Kabul City,National,Education,Full Time,Any,5.0,BA,Position Title: Education Expert (Physics)
618,Kabul City,National,Education,Full Time,Any,7.0,BA,Position Title: Script Writer - Dari
619,North-Zone,National,Business,Full Time,Female,2.5,BA,Position Title: Re-Announced Community Mobilizer
620,Central Highlands,National,Business,Full Time,Any,5.0,BA,Position Title: Procurement Specialist
621,Kabul City,National,Others,Full Time,Any,4.0,BA,Position Title: Deputy Grants Coordinator (Re Announced)
622,South Zone,National,Health,Full Time,Female,5.0,MA,Position Title: Quality Improvement officer(Ob/GYN Specialist (Re Announced)
623,West Zone,National,Health,Full Time,Female,5.0,MA,Position Title: Quality Improvement officer(Ob/GYN Specialist (Re Announced)
624,Central Highlands,National,Health,Full Time,Any,3.0,MD,Position Title: Neuropsychiatrist
625,Kabul City,National,Education,Full Time,Male,3.0,MA,Position Title: Stomatology Instructor 
626,Kabul City,National,Education,Full Time,Male,3.0,MA,Position Title: BBA Professor 
627,Kabul Zone,National,Business,Full Time,Any,3.5,BA,Position Title: Logistic Assiatant Kapisa
628,Kabul City,National,Health,Full Time,Any,0.0,,Position Title: Medical Doctor
629,Kabul Zone,National,Business,Full Time,Any,2.0,BA,Position Title: Logistic Officer Kapisa
630,East Zone,National,Business,Full Time,Male,5.0,BA,Position Title: Branch Manager
631,Kabul City,National,Business,Full Time,Any,7.0,MA,Position Title: Program Manager/Proposal Writer
632,Kabul City,National,Business,Full Time,Male,2.0,HS,Position Title: electrician
633,Kabul City,National,Business,Full Time,Any,4.0,BA,Position Title: Finance Manager
634,South Zone,National,Health,Full Time,Any,1.0,HS,Position Title: Hygiene Promoter
635,South Zone,National,Health,Full Time,Female,2.0,BA,Position Title: Medical Doctor (Female)
636,South Zone,National,Health,Full Time,Female,2.0,BA,Position Title: IYCF Counsellor(Female)
637,Kabul City,National,Business,Full Time,Any,2.0,BA,Position Title: Finance Assistant
638,East Zone,National,Others,Full Time,Any,4.0,BA,Position Title: Project coordinator
639,Kabul City,National,Health,Full Time,Female,5.0,BA,Position Title: Backup Midwife
640,North-East Zone,National,Business,Full Time,Any,7.0,BA,Position Title: Provincial Project Officer
641,Kabul City,National,Business,Part Time,Any,2.0,BA,Position Title: Translator (subject to donor approval)
642,North-East Zone,National,Business,Full Time,Any,7.0,BA,Position Title: Provincial Project Officer
643,South Zone,National,Health,Full Time,Female,3.5,BA,Position Title: MHPSS Technical Officer
644,West Zone,National,Education,Full Time,Any,2.5,HS,Position Title: Education Assistant Afghanistan Nimroz (Only Afghan National)
645,Kabul City,Any,Business,Full Time,Any,0.0,MA,Position Title: Country Director
646,Kabul City,National,Business,Full Time,Any,5.0,BA,Position Title: Project Manager
647,South Zone,National,Health,Full Time,Female,1.5,BA,Position Title: Community Mobilizer
648,Kabul City,National,Business,Full Time,Any,3.0,MA,Position Title: Data Analyzer & Reporter
649,North-East Zone,National,Engineering,Full Time,Male,1.0,BA,Position Title: Fixed asset verification engineer
650,East Zone,National,Business,Full Time,Any,2.5,BA,Position Title: HR/Admin Officer
651,South Zone,National,Health,Full Time,Female,3.5,MD,"Position Title: Psychosocial Counselor (WFHS), (PSCC-IN charge)"
652,Kabul City,National,Business,Full Time,Any,2.0,BA,Position Title: Community Mobilizer
653,Kabul City,National,Others,Full Time,Any,3.0,BA,Position Title: Emergency Coordinator (Re Announced) (Re Announced)
654,Kabul Zone,National,Business,Full Time,Any,2.0,BA,Position Title: Community Mobilizer
655,Kabul Zone,National,Business,Full Time,Any,2.0,BA,Position Title: Community Mobilizer
656,North-Zone,National,Business,Full Time,Any,2.0,BA,Position Title: Community Mobilizer
657,West Zone,National,Business,Full Time,Any,2.0,BA,Position Title: Community Mobilizer
658,Kabul City,International,Business,Part Time,Any,10.0,BA,Position Title: Grant Coordinator/Proposal Writer (international) only
659,Kabul City,Any,Business,Part Time,Female,10.0,BA,Position Title: Grant Coordinator/Proposal Writer (Female) only
660,Kabul City,National,Business,Full Time,Male,4.0,BA,Position Title: Program Manager
661,South Zone,National,Security,Full Time,Male,3.0,BA,Position Title: Guard /Store Keeper
662,East Zone,National,Health,Full Time,Female,2.5,BA,Position Title: Prostatic and Orthotic technician
663,West Zone,National,Business,Full Time,Any,1.0,BA,Position Title: Nurse
664,North-Zone,National,Education,Full Time,Any,3.0,BA,Position Title: English Trainer
665,Kabul City,National,Education,Full Time,Female,0.0,BA,Position Title: Pashto and English Teacher
666,Kabul City,National,Others,Full Time,Male,3.5,BA,Position Title: Procurement and Documentation Officer
667,Kabul City,National,Others,Full Time,Any,3.0,BA,Position Title: F&B Supervisor
668,Kabul City,National,IT,Full Time,Any,0.0,BA,Position Title: Web and Social Media Administrator
669,Kabul City,National,Engineering,Full Time,Male,7.0,BA,Position Title: Proposal Writer ( Civil Engineer )
670,Central Highlands,National,Business,Full Time,Any,2.0,BA,Position Title: Project Assistant
671,Central Highlands,National,Business,Full Time,Any,4.0,BA,Position Title: Project Officer
672,Central Highlands,National,Business,Part Time,Any,3.0,BA,"Position Title: Computer Teacher "" 1 Male 1 Female"""
673,Central Highlands,National,Business,Part Time,Any,3.0,MA,"Position Title: Literacy Teacher "" 1 Male 1 Female"""
674,Kabul City,National,Business,Part Time,Any,3.0,HS,"Position Title: Literacy Teacher "" 2 Male 2 Female"""
675,Kabul City,National,Business,Part Time,Male,3.0,BA,"Position Title: English Teacher "" 1 Male"""
676,Kabul City,National,Business,Part Time,Any,3.0,BA,"Position Title: Science & Math Teacher "" 1 Male 1 Female"""
677,Kabul City,National,Business,Part Time,Male,4.0,BA,Position Title: Psychosocial counselor/ Peace Education Trainer
678,West Zone,National,Business,Part Time,Any,4.0,BA,Position Title: Psychosocial counselor/ Peace Education Trainer
679,Kabul City,National,Business,Part Time,Male,3.0,BA,Position Title: Vocational Trainer Mobile Repairer
680,Central Highlands,National,Business,Part Time,Male,2.0,BA,Position Title: Vocational Trainer - Mobile Repairer
681,West Zone,National,Business,Part Time,Male,3.0,HS,"Position Title: Vocational Trainer ""Mobile Repairer"""
682,Kabul City,National,Others,Full Time,Male,2.5,HS,Position Title: Medical Representative 
683,West Zone,National,Legal,Full Time,Any,3.0,HS,Position Title: Protection Officer
684,Kabul City,National,Business,Full Time,Male,3.0,HS,Position Title: Chief Risk Officer (CRO) (Re Announced)
685,Kabul City,National,Business,Full Time,Any,3.0,VD,Position Title: Deputy Chief Risk Officer (Dy CRO)
686,Kabul City,National,Others,Full Time,Any,3.0,VD,Position Title: Digital Marketer
687,Kabul City,National,Business,Full Time,Any,5.0,BA,Position Title: Senior Financial Institution Officer
688,West Zone,Any,Health,Full Time,Any,7.0,MA,Position Title: Production Manager
689,Kabul City,National,Others,Full Time,Any,3.0,BA,Position Title: Sales/Marketing Officer
690,North-Zone,National,Others,Full Time,Any,3.0,BA,Position Title: Agribusiness Marketing Officer
691,Kabul City,National,Others,Full Time,Any,7.0,BA,Position Title: Event Manager
692,Kabul City,National,Business,Full Time,Any,4.0,BA,Position Title: Safeguarding Coordinator
693,Kabul City,National,Business,Full Time,Any,5.0,BA,Position Title: Data Management Specialist
694,Kabul City,National,Business,Full Time,Any,3.0,BA,Position Title: Data Quality Control Officer
695,Kabul City,National,Business,Full Time,Any,2.0,MA,Position Title: Data Quality Controllers (DQCs)
696,Kabul City,National,Business,Full Time,Any,3.0,BA,Position Title: Project Officer
697,North-Zone,National,Others,Full Time,Any,5.0,BA,Position Title: Senior Community-based Social Behavior Change (SBC) & Communication Officer
698,Kabul City,National,Education,Full Time,Any,3.0,BA,Position Title: Dean of Economics faculty
699,Kabul City,National,Business,Full Time,Any,3.0,MA,Position Title: Call for CV of fresh Economics and BBA graduates to be hired in different units of the Bank (Re Announced)
700,Kabul City,National,Others,Full Time,Any,2.0,BA,"Position Title: OB/GYN Specialists, pediatrician Specialists, Midwife, Nurses"
701,Kabul City,National,Others,Full Time,Male,4.5,BA,Position Title: Marketing Manager
702,Kabul City,National,IT,Full Time,Male,4.0,BA,Position Title: Sr. Software Developer (Re Announced)
703,Kabul City,National,Business,Full Time,Any,3.0,BA,"Position Title: Safeguarding, Inclusion, and Equality Officer"
704,Kabul City,National,Business,Full Time,Any,5.0,BA,Position Title: Head of Human Resources
705,North-Zone,National,Others,Full Time,Any,6.0,BA,Position Title: Enterprise Development Officer
706,Kabul City,National,Others,Full Time,Any,4.0,BA,Position Title: proposal writer
707,Kabul City,National,Business,Full Time,Female,7.0,BA,Position Title: Afghanistan Country Program Assistant (Re-Announced)
708,North-Zone,National,Business,Full Time,Any,2.0,BA,Position Title: Field Finance Officer
709,Kabul City,National,Agriculture,Full Time,Any,3.0,BA,Position Title: Agriculture Development Officer (ADO)
710,East Zone,National,Health,Full Time,Any,7.0,BA,"Position Title: Head of Institute of Health Sciences, IHS"
711,North-Zone,Any,Business,Full Time,Any,6.0,BA,Position Title: On-Call Experts (On-site/ Off-site)
712,Kabul City,National,Health,Full Time,Female,5.0,BA,Position Title: Midwifery and Nursing Project Coordinator
713,Central Highlands,National,Others,Full Time,Any,1.0,BA,Position Title: TVET Officer
714,Kabul City,National,Business,Full Time,Any,5.0,BA,Position Title: Team Leader Communications
715,Kabul City,National,Business,Part Time,Any,5.0,BA,Position Title: Consultant for Developing Guidelines on Rockfall Risk Management
716,Kabul City,National,Business,Full Time,Male,3.0,BA,Position Title: Chief Risk Officer
717,Central Highlands,National,Others,Full Time,Any,5.0,BA,Position Title: Provincial Coordinator
718,North-East Zone,National,Health,Full Time,Any,2.0,BA,Position Title: Data Clerk
719,North-East Zone,National,Health,Full Time,Any,2.0,BA,Position Title: MHPSS Officer
720,North-East Zone,National,Health,Full Time,Any,2.5,BA,Position Title: Health Information System Officer
721,North-East Zone,National,Health,Full Time,Any,2.5,BA,Position Title: Provincial Pharmacy Officer
722,North-East Zone,National,Health,Full Time,Female,2.0,BA,Position Title: IYCF Counsellor ( Only Female)
723,North-East Zone,National,Health,Full Time,Female,2.0,BA,Position Title: Nutrition Nurse - Only Female
724,North-East Zone,National,Health,Full Time,Any,1.5,BA,Position Title: MHPSS Counselor
725,North-East Zone,National,Health,Full Time,Any,3.0,BA,Position Title: Nutrition Officer
726,North-East Zone,National,Health,Full Time,Female,2.0,BA,Position Title: Midwife (Only Female)
727,Kabul City,National,Business,Full Time,Any,3.5,BA,Position Title: Finance Audit Officer
728,South Zone,National,IT,Full Time,Any,1.0,BA,Position Title: Supervisor Implementation (Casual) - Kandahar
729,Kabul City,National,IT,Full Time,Any,1.0,BA,Position Title: Technician Site Solution (Casual)
730,Kabul City,National,IT,Full Time,Any,1.0,BA,Position Title: Technician Site Sharing (Casual)
731,Kabul City,National,IT,Full Time,Any,2.0,BA,Position Title: Analyst IT Service Desk
732,North-East Zone,National,Health,Full Time,Any,1.5,BA,Position Title: Pharmacy Dispenser
733,North-East Zone,National,Health,Full Time,Any,2.0,BA,Position Title: Medical Doctor
734,North-East Zone,National,Health,Full Time,Any,1.5,BA,Position Title: Health Promotion Assistant
735,North-Zone,National,Others,Full Time,Any,1.5,HS,Position Title: Grant and Loan Officer
736,North-Zone,National,Others,Full Time,Any,3.5,BA,Position Title: Re-Announced Senior Enterprise Development Officer
737,North-Zone,National,Others,Full Time,Female,2.0,BA,Position Title: Re-Announced Psychosocial Counsellor
738,North-Zone,National,Others,Full Time,Male,2.0,BA,Position Title: Re-Announced Wheelchair Technician (Re Announced)
739,North-Zone,National,Others,Full Time,Any,1.5,BA,Position Title: Re-Announced Prosthetics/Orthotics (Category II) (Re Announced)
740,East Zone,National,Business,Full Time,Any,1.0,BA,"Position Title: Protection Officer/Border Monitoring ""Male & Female""(Couple)"
741,Kabul City,National,Engineering,Full Time,Any,3.0,BA,Position Title: Creative Director
742,North-East Zone,National,Health,Full Time,Any,4.0,BA,Position Title: Provincial Health Manager
743,Kabul City,National,Security,Full Time,Any,2.0,BA,Position Title: Humanitarian Access & Risk Management Officer
744,Kabul City,National,Health,Full Time,Any,0.0,BA,Position Title: Senior EPI Officer
745,Kabul City,National,Business,Full Time,Any,6.0,BA,Position Title: Reporting and Liaison Coordinator (Re Announced)
746,West Zone,National,Business,Full Time,Male,3.0,BA,Position Title: TPM Team Leader
747,North-Zone,National,Health,Full Time,Female,3.0,BA,Position Title: Female MD
748,Kabul City,National,Education,Full Time,Any,7.0,BA,Position Title: Script Writer - Pashto
749,Kabul City,National,Education,Full Time,Any,5.0,BA,Position Title: Education Expert (Physics)
750,Kabul City,National,Education,Full Time,Any,7.0,BA,Position Title: Script Writer - Dari
751,North-Zone,National,Others,Full Time,Female,2.5,BA,Position Title: Re-Announced Community Mobilizer
752,Central Highlands,National,Business,Full Time,Any,5.0,BA,Position Title: Procurement Specialist
753,Central Highlands,National,Health,Full Time,Any,3.0,BA,Position Title: Neuropsychiatrist
754,Kabul Zone,National,Others,Full Time,Any,3.5,BA,Position Title: Logistic Assiatant Kapisa
755,Kabul Zone,National,Others,Full Time,Any,2.0,BA,Position Title: Logistic Officer Kapisa
756,East Zone,National,Business,Full Time,Male,5.0,BA,Position Title: Branch Manager
757,Kabul City,National,Business,Full Time,Any,7.0,BA,Position Title: Program Manager/Proposal Writer
758,Kabul City,National,Others,Full Time,Male,2.0,BA,Position Title: electrician
759,Kabul City,National,Business,Full Time,Any,4.0,BA,Position Title: Finance Manager
760,Kabul City,National,Business,Full Time,Any,2.0,BA,Position Title: Finance Assistant
761,Kabul City,National,Health,Full Time,Female,5.0,BA,Position Title: Backup Midwife
762,West Zone,National,Education,Full Time,Any,2.5,BA,Position Title: Education Assistant Afghanistan Nimroz (Only Afghan National)
763,Kabul City,Any,Business,Full Time,Any,4.0,BA,Position Title: Country Director
764,North-East Zone,National,Engineering,Full Time,Male,1.0,BA,Position Title: Fixed asset verification engineer
765,Kabul City,National,Others,Full Time,Any,3.0,BA,Position Title: Emergency Coordinator (Re Announced) (Re Announced)
766,South Zone,National,Business,Full Time,Any,4.0,BA,Position Title: HMIS/ M & E Performance Manager (Re Announced) (Re Announced)
767,South Zone,National,Business,Full Time,Any,5.0,BA,Position Title: Senior Regional Portfolio Manager
768,Kabul City,National,Business,Full Time,Any,3.0,BA,"Position Title: Risk, Ethics & Safeguarding Manager (Re Announced)"
769,Kabul City,National,Others,Full Time,Any,3.0,BA,Position Title: Trainer (Computer Repairing)
770,South Zone,National,Health,Full Time,Male,8.0,BA,Position Title: CBNP Technical Officer/Supervisor
771,Kabul City,National,Others,Full Time,Any,3.0,BA,Position Title: Trainer (Mobile Repairing)
772,West Zone,National,Security,Full Time,Male,2.0,BA,Position Title: Guard (Re Announced)
773,West Zone,National,Others,Full Time,Any,1.0,BA,Position Title: Psychosocial Worker (Re Announced)
